ID,Risk,Usage
627,good,Public
255,good,Public
79,bad,Public
30,good,Public
221,good,Public
240,bad,Public
681,good,Public
919,bad,Public
807,bad,Public
722,good,Public
232,good,Public
1391,good,Public
1209,good,Public
737,good,Public
440,bad,Public
670,good,Public
679,bad,Public
1204,good,Public
271,good,Public
372,good,Public
1081,good,Public
57,bad,Public
717,good,Public
818,good,Public
621,bad,Public
1293,good,Public
487,good,Public
1030,bad,Public
803,bad,Public
746,good,Public
87,good,Public
1191,bad,Public
124,bad,Public
1331,bad,Public
317,bad,Public
439,bad,Public
311,bad,Public
383,bad,Public
1050,good,Public
1387,bad,Public
772,bad,Public
1257,bad,Public
366,good,Public
591,good,Public
129,bad,Public
1079,good,Public
562,good,Public
616,good,Public
650,bad,Public
222,good,Public
114,good,Public
536,good,Public
1367,bad,Public
175,good,Public
430,good,Public
574,good,Public
1231,bad,Public
895,good,Public
927,bad,Public
1174,bad,Public
32,bad,Public
211,bad,Public
1372,good,Public
1176,bad,Public
715,bad,Public
815,good,Public
848,good,Public
189,bad,Public
1092,good,Public
378,bad,Public
352,bad,Public
416,bad,Public
