ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
1122,33,male,1,rent,little,moderate,2384,36,repairs,bad
49,48,male,2,own,,,5190,27,repairs,good
156,39,female,1,own,,moderate,932,6,education,good
307,30,male,2,own,,moderate,2028,12,car,good
1288,48,male,2,own,little,little,1082,12,car,bad
463,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good
1099,41,male,2,own,little,little,2712,36,furniture/equipment,bad
713,33,male,2,own,little,moderate,1245,18,radio/TV,bad
1258,25,female,2,rent,,little,1371,24,car,bad
853,25,male,2,own,little,moderate,4933,39,radio/TV,bad
1001,31,male,2,own,,little,6350,30,furniture/equipment,bad
1384,44,female,3,free,little,moderate,12579,24,car,bad
1169,26,male,3,own,little,,4463,36,radio/TV,bad
989,24,male,1,rent,little,little,1546,24,radio/TV,bad
862,42,male,2,own,little,little,4153,18,furniture/equipment,bad
721,48,male,2,own,little,little,1082,12,car,bad
1106,32,male,2,free,rich,moderate,1136,9,education,bad
1389,34,male,2,own,little,little,6999,48,radio/TV,bad
1016,34,male,2,own,little,little,3965,42,radio/TV,bad
740,24,male,2,own,little,little,9629,36,car,bad
523,30,male,3,own,,little,14179,39,furniture/equipment,good
1167,40,male,3,own,,little,1977,36,education,bad
731,34,female,3,own,little,moderate,1501,9,education,bad
244,28,male,2,own,little,little,4169,24,furniture/equipment,good
411,24,female,2,own,little,,2788,15,furniture/equipment,good
436,27,male,2,own,little,moderate,3652,21,business,good
911,25,male,1,rent,little,,2210,10,furniture/equipment,bad
1128,48,male,2,own,little,little,1082,12,car,bad
1330,28,female,2,rent,quite rich,moderate,4113,24,car,bad
454,22,male,2,free,little,little,3973,14,car,good
1285,24,male,2,own,little,little,9271,36,car,bad
913,24,female,2,own,little,little,3190,18,radio/TV,bad
55,51,male,3,free,little,little,1164,8,vacation/others,good
1067,35,male,2,free,little,little,3386,12,car,bad
313,20,male,2,own,little,,1313,9,furniture/equipment,good
814,26,female,0,rent,little,moderate,1778,15,car,bad
110,39,female,2,own,little,little,860,6,car,good
882,38,male,2,free,little,rich,947,24,car,bad
343,35,male,1,own,little,,4679,24,car,good
592,28,male,2,own,little,,1249,24,car,good
1329,29,female,2,own,little,little,3959,15,car,bad
1352,25,female,1,own,little,moderate,1355,24,car,bad
297,43,male,2,own,,,2197,24,car,good
421,42,female,2,rent,,moderate,1965,24,car,good
969,29,male,2,own,little,little,6887,36,education,bad
619,36,male,2,own,,moderate,2181,30,car,good
287,31,female,2,own,little,little,1957,6,radio/TV,good
1345,42,male,3,own,little,,2292,12,business,bad
1248,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad
127,36,male,2,own,quite rich,,909,36,car,good
933,35,female,2,own,,little,1381,24,car,bad
495,41,male,2,own,moderate,moderate,2503,30,business,good
1082,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
364,28,male,2,own,moderate,rich,1323,6,car,good
171,42,male,1,own,little,,1544,4,radio/TV,good
978,23,male,1,own,little,moderate,1246,24,car,bad
340,63,male,2,own,little,little,2924,24,car,good
395,32,male,2,own,little,,1552,24,radio/TV,good
210,26,male,2,own,little,little,4788,48,car,good
1170,25,female,2,rent,,little,1371,24,car,bad
141,29,male,2,rent,little,,2108,6,radio/TV,good
1296,24,female,2,rent,little,little,4308,48,business,bad
1023,54,male,3,own,rich,,4591,24,business,bad
375,40,male,1,own,little,little,1361,6,car,good
412,27,female,2,own,little,moderate,2930,12,radio/TV,good
200,32,male,2,own,little,,2697,9,radio/TV,good
1205,32,female,1,own,moderate,moderate,931,6,car,bad
683,64,female,2,own,little,moderate,753,6,radio/TV,good
977,60,male,1,own,little,little,1199,24,car,bad
839,31,male,2,own,moderate,,3621,24,radio/TV,bad
11,25,male,2,own,,little,8072,30,business,good
148,38,male,3,free,little,little,10623,30,car,good
462,27,male,3,own,little,,6314,24,vacation/others,good
283,27,female,2,own,little,,1449,9,business,good
299,26,male,3,own,quite rich,,3235,24,radio/TV,good
544,37,male,2,own,little,,3535,36,car,good
292,43,female,1,own,rich,,1516,24,radio/TV,good
530,25,female,2,own,little,,5771,30,radio/TV,good
944,24,male,1,rent,little,little,1546,24,radio/TV,bad
1203,30,male,3,free,,,12680,21,car,bad
478,31,male,1,own,moderate,moderate,9857,36,business,good
514,28,female,2,rent,rich,,2603,24,car,good
332,36,male,2,rent,little,little,3905,11,car,good
1125,43,male,1,own,little,,1533,18,furniture/equipment,bad
939,43,male,2,free,little,little,1333,24,car,bad
1221,25,female,1,own,little,rich,2327,15,radio/TV,bad
1121,30,male,3,own,little,little,1823,24,radio/TV,bad
136,65,male,2,own,little,little,571,21,car,good
999,33,male,1,own,little,little,2579,12,car,bad
875,55,male,2,free,rich,,1555,12,repairs,bad
1190,37,female,1,own,little,little,1274,12,car,bad
583,42,female,2,own,,moderate,5084,24,radio/TV,good
1033,31,male,2,rent,little,little,3161,24,business,bad
678,40,male,1,own,little,little,3939,11,car,good
589,50,male,2,own,little,,1559,24,business,good
159,24,male,1,rent,little,little,3021,24,furniture/equipment,good
1213,30,female,3,own,,little,7174,42,radio/TV,bad
1343,26,female,1,rent,moderate,moderate,4280,30,business,bad
935,29,male,2,own,little,little,5179,36,furniture/equipment,bad
639,27,male,2,own,,moderate,3711,36,education,good
1381,31,male,2,own,,little,6350,30,furniture/equipment,bad
433,27,male,3,free,,moderate,9157,60,radio/TV,good
486,29,male,2,own,moderate,moderate,2896,24,radio/TV,good
1037,36,male,2,own,little,moderate,3915,27,business,bad
696,50,male,2,own,,,2390,12,car,good
941,36,male,2,own,little,little,1372,12,car,bad
1011,33,female,2,rent,little,little,3966,18,car,bad
840,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
97,24,female,2,own,,moderate,8487,48,car,good
1393,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
1250,41,male,1,own,little,moderate,888,12,car,bad
760,24,female,2,rent,rich,moderate,433,6,education,bad
539,63,male,1,own,little,,1655,12,radio/TV,good
157,31,male,2,own,little,little,3104,18,business,good
550,60,male,3,own,,moderate,6468,20,car,good
572,54,female,2,rent,little,moderate,7432,36,car,good
424,45,female,2,own,little,moderate,2329,7,radio/TV,good
763,25,male,2,rent,moderate,moderate,1264,15,car,bad
391,45,female,1,own,little,rich,3049,18,furniture/equipment,good
784,28,male,2,own,little,,2169,18,business,bad
786,33,male,2,rent,little,little,950,15,car,bad
1210,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
568,65,male,2,own,,,930,12,radio/TV,good
971,74,female,3,free,little,moderate,5129,9,car,bad
1263,32,male,1,free,little,little,1442,18,car,bad
